title,price,link,id,review
Guild Wars® Reforged,$13.99,https://store.steampowered.com/app/29720/Guild_Wars_Reforged/?snr=1_7_7_2300_150_3,29720,positive
Rain World,$11.12,https://store.steampowered.com/app/312520/Rain_World/?snr=1_7_7_2300_150_3,312520,positive
Escape From Duckov,$13.49,https://store.steampowered.com/app/3167020/Escape_From_Duckov/?snr=1_7_7_2300_150_3,3167020,positive
The NOexistenceN of Lilith,$1.79,https://store.steampowered.com/app/4643090/The_NOexistenceN_of_Lilith/?snr=1_7_7_2300_150_3,4643090,positive
Scale the Depths,$7.99,https://store.steampowered.com/app/3198890/Scale_the_Depths/?snr=1_7_7_2300_150_3,3198890,positive
BLEACH Rebirth of Souls,$23.99,https://store.steampowered.com/app/1689620/BLEACH_Rebirth_of_Souls/?snr=1_7_7_2300_150_3,1689620,positive
CODE VEIN II,$39.89,https://store.steampowered.com/app/2362060/CODE_VEIN_II/?snr=1_7_7_2300_150_3,2362060,mixed
ACE COMBAT™ 7: SKIES UNKNOWN,$9.59,https://store.steampowered.com/app/502500/ACE_COMBAT_7_SKIES_UNKNOWN/?snr=1_7_7_2300_150_3,502500,positive
DRAGON BALL FighterZ,$14.39,https://store.steampowered.com/app/678950/DRAGON_BALL_FighterZ/?snr=1_7_7_2300_150_3,678950,positive
Outlast,$3.74,https://store.steampowered.com/app/238320/Outlast/?snr=1_7_7_2300_150_3,238320,positive
SOMA,$5.99,https://store.steampowered.com/app/282140/SOMA/?snr=1_7_7_2300_150_3,282140,positive
Darkest Dungeon®,$3.74,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_2300_150_4,262060,positive
Hatsune Miku: Project DIVA Mega Mix+,$15.75,https://store.steampowered.com/app/1761390/Hatsune_Miku_Project_DIVA_Mega_Mix/?snr=1_7_7_2300_150_4,1761390,positive
Cozy Grove: Camp Spirit,$17.99,https://store.steampowered.com/app/2021960/Cozy_Grove_Camp_Spirit/?snr=1_7_7_2300_150_4,2021960,positive
Factory Town 2: Paradise,$22.49,https://store.steampowered.com/app/3312130/Factory_Town_2_Paradise/?snr=1_7_7_2300_150_4,3312130,positive
High On Life,$9.99,https://store.steampowered.com/app/1583230/High_On_Life/?snr=1_7_7_2300_150_4,1583230,positive
Devil May Cry 4 Special Edition,$4.99,https://store.steampowered.com/app/329050/Devil_May_Cry_4_Special_Edition/?snr=1_7_7_2300_150_4,329050,positive
Amnesia: The Bunker,$4.99,https://store.steampowered.com/app/1944430/Amnesia_The_Bunker/?snr=1_7_7_2300_150_4,1944430,positive
ONE PIECE: PIRATE WARRIORS 4,$7.99,https://store.steampowered.com/app/1089090/ONE_PIECE_PIRATE_WARRIORS_4/?snr=1_7_7_2300_150_4,1089090,positive
Bowling Alley Simulator,$13.49,https://store.steampowered.com/app/4465600/Bowling_Alley_Simulator/?snr=1_7_7_2300_150_4,4465600,positive
Outbreak Island,$8.99,https://store.steampowered.com/app/1442530/Outbreak_Island/?snr=1_7_7_2300_150_4,1442530,positive
JoJo's Bizarre Adventure: All-Star Battle R,$9.99,https://store.steampowered.com/app/1372110/JoJos_Bizarre_Adventure_AllStar_Battle_R/?snr=1_7_7_2300_150_4,1372110,positive
Sins of a Solar Empire II,$24.99,https://store.steampowered.com/app/1575940/Sins_of_a_Solar_Empire_II/?snr=1_7_7_2300_150_4,1575940,positive
"Warhammer 40,000: Boltgun",$7.25,https://store.steampowered.com/app/2005010/Warhammer_40000_Boltgun/?snr=1_7_7_2300_150_4,2005010,positive
Battle Brothers,$8.99,https://store.steampowered.com/app/365360/Battle_Brothers/?snr=1_7_7_2300_150_4,365360,positive
HumanitZ,$12.99,https://store.steampowered.com/app/1766060/HumanitZ/?snr=1_7_7_2300_150_4,1766060,positive
Carpet Cleaning Simulator,$5.59,https://store.steampowered.com/app/4634560/Carpet_Cleaning_Simulator/?snr=1_7_7_2300_150_4,4634560,positive
Eriksholm: The Stolen Dream,$23.99,https://store.steampowered.com/app/2377280/Eriksholm_The_Stolen_Dream/?snr=1_7_7_2300_150_4,2377280,positive
K-pop Idol Stories: Road to Debut,$15.99,https://store.steampowered.com/app/1662160/Kpop_Idol_Stories_Road_to_Debut/?snr=1_7_7_2300_150_4,1662160,mixed
Monster Hunter Stories 3: Twisted Reflection,$55.99,https://store.steampowered.com/app/2852190/Monster_Hunter_Stories_3_Twisted_Reflection/?snr=1_7_7_2300_150_4,2852190,positive
Aliens: Dark Descent,$11.99,https://store.steampowered.com/app/1150440/Aliens_Dark_Descent/?snr=1_7_7_2300_150_4,1150440,positive
Meta Ghost: Breaking Show,$12.59,https://store.steampowered.com/app/2507980/Meta_Ghost_Breaking_Show/?snr=1_7_7_2300_150_4,2507980,positive
Cinderia,$14.39,https://store.steampowered.com/app/3214610/Cinderia/?snr=1_7_7_2300_150_4,3214610,positive
StarRupture,$15.99,https://store.steampowered.com/app/1631270/StarRupture/?snr=1_7_7_2300_150_4,1631270,positive
